symbol,stock_name,industry,sub_industry,benchmark
ASIANPAINT,Asian Paints Limited,CONSUMER GOODS,PAINTS & VARNISHES,NIFTY CONSUMPTION
ASIANTILES,Asian Granito India Limited,,,
ASPINWALL,Aspinwall and Company Limited,,,
ASSAMCO,Assam Company India Limited,,,
ASTEC,Astec LifeSciences Limited,,,
ASTERDM,Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,DIVERSIFIED,NIFTY HEALTHCARE
ASTRAL,Astral Poly Technik Limited,INDUSTRIAL MANUFACTURING,PLASTICS,
ASTRAMICRO,Astra Microwave Products Limited,TELECOM,TELECOMMUNICATIONS - EQUIPMENT,
ASTRAZEN,AstraZeneca Pharma India Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
ASTRON,,,,
ATFL,Agro Tech Foods Limited,CONSUMER GOODS,FOOD PROCESSING,NIFTY CONSUMPTION
ATLANTA,Atlanta  Limited,,,
ATLASCYCLE,Atlas Cycles (Haryana) Limited,,,
ATUL,Atul Limited,CHEMICALS,DYES & PIGMENTS,
ATULAUTO,Atul Auto Limited,AUTOMOBILE,AUTO - 2 & 3 WHEELERS,NIFTY AUTO
AUBANK,AU Small Finance Bank Limited,FINANCIAL SERVICES,BANKS - PRIVATE SECTOR,NIFTY BANK
AURDIS,,,,
AURIONPRO,Aurionpro Solutions Limited,,,
AUROPHARMA,Aurobindo Pharma Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
AUSOMENT,Ausom Enterprise Limited,,,
AUTOAXLES,Automotive Axles Limited,AUTOMOBILE,AUTO ANCILLARIES,NIFTY AUTO
AUTOIND,Autoline Industries Limited,AUTOMOBILE,AUTO ANCILLARIES,NIFTY AUTO
AUTOLITIND,Autolite (India) Limited,AUTOMOBILE,AUTO ANCILLARIES,NIFTY AUTO
AVADHSUGAR,Avadh Sugar & Energy Limited,CONSUMER GOODS,SUGAR,NIFTY CONSUMPTION
AVANTIFEED,Avanti Feeds Limited,CONSUMER GOODS,AQUACULTURE,NIFTY CONSUMPTION
AVG,,,,
AVTNPL,AVT Natural Products Limited,,,
AXISBANK,Axis Bank Limited,FINANCIAL SERVICES,BANKS - PRIVATE SECTOR,NIFTY BANK
AXISCADES,AXISCADES Engineering Technologies Limited,INDUSTRIAL MANUFACTURING,,
AXISGOLD,,,,
AXISNIFTY,,,,
AYMSYNTEX,AYM Syntex Limited,,,
BAFNAPHARM,Bafna Pharmaceuticals Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
BAGFILMS,B.A.G Films and Media Limited,,,
BAJAJ-AUTO,Bajaj Auto Limited,AUTOMOBILE,AUTO - 2 & 3 WHEELERS,NIFTY AUTO
BAJAJCORP,Bajaj Corp Limited,CONSUMER GOODS,PERSONAL CARE,NIFTY FMCG
BAJAJELEC,Bajaj Electricals Limited,CONSUMER GOODS,DOMESTIC APPLIANCES,NIFTY CONSUMPTION
BAJAJFINSV,Bajaj Finserv Limited,FINANCIAL SERVICES,FINANCE - INVESTMENTS,NIFTY BANK
BAJAJHIND,Bajaj Hindusthan Sugar Limited,CONSUMER GOODS,SUGAR,NIFTY CONSUMPTION
BAJAJHLDNG,Bajaj Holdings & Investment Limited,FINANCIAL SERVICES,FINANCE - INVESTMENTS,NIFTY BANK
BAJFINANCE,Bajaj Finance Limited,FINANCIAL SERVICES,FINANCE - LEASING & HIRE PURCHASE,NIFTY BANK
BALAJITELE,Balaji Telefilms Limited,,,
BALAMINES,Balaji Amines Limited,,,
BALKRISHNA,Balkrishna Paper Mills Limited,,,
BALKRISIND,Balkrishna Industries Limited,AUTOMOBILE,TYRES,NIFTY AUTO
BALLARPUR,Ballarpur Industries Limited,PAPER,PAPER,
BALMLAWRIE,Balmer Lawrie & Company Limited,SERVICES,DIVERSIFIED,
BALPHARMA,Bal Pharma Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
BALRAMCHIN,Balrampur Chini Mills Limited,CONSUMER GOODS,SUGAR,NIFTY CONSUMPTION
BANARBEADS,Banaras Beads Limited,,,
BANARISUG,Bannari Amman Sugars Limited,CONSUMER GOODS,SUGAR,NIFTY CONSUMPTION
BANCOINDIA,Banco Products (I) Limited,,,
BANDHANBNK,,,,
BANG,Bang Overseas Limited,,,
BANKBARODA,Bank of Baroda,FINANCIAL SERVICES,BANKS - PUBLIC SECTOR,NIFTY BANK
BANKBEES,,,,
BANKINDIA,Bank of India,FINANCIAL SERVICES,BANKS - PUBLIC SECTOR,NIFTY BANK
BANSAL,,,,
BANSWRAS,Banswara Syntex Limited,,,
BARTRONICS,Bartronics India Limited,,,
BASF,BASF India Limited,CHEMICALS,CHEMICALS,
BASML,Bannari Amman Spinning Mills Limited,,,
BATAINDIA,Bata India Limited,CONSUMER GOODS,LEATHER PRODUCTS,NIFTY CONSUMPTION
BAYERCROP,Bayer Cropscience Limited,FERTILISERS & PESTICIDES,PESTICIDES & AGRO CHEMICALS,
BBL,Bharat Bijlee Limited,,,
BBTC,Bombay Burmah Trading Corporation Limited,CONSUMER GOODS,PLANTATIONS - TEA & COFFEE,NIFTY CONSUMPTION
BCONCEPTS,,,,
BDL,,,,
BEARDSELL,Beardsell Limited,,,
BEDMUTHA,Bedmutha Industries Limited,,,
BEL,Bharat Electronics Limited,INDUSTRIAL MANUFACTURING,ELECTRICALS,
BEML,BEML Limited,INDUSTRIAL MANUFACTURING,INFRASTRUCTURE - GENERAL,
BEPL,Bhansali Engineering Polymers Limited,INDUSTRIAL MANUFACTURING,,
