symbol,isin,stock_name,issuer_name,face_value,country,industry,outstanding_shares,
GAMMNINFRA,INE181G01025,Gammon Infrastructure Projects Limited,Gammon Infrastructure Projects Limited,2,INDIA,CONSTRUCTION,#N/A,
GANDHITUBE,INE524B01027,Gandhi Special Tubes Limited,Gandhi Special Tubes Limited,5,INDIA,,#N/A,
GANECOS,INE845D01014,Ganesha Ecosphere Limited,Ganesha Ecosphere Limited,10,INDIA,,#N/A,
GANESHHOUC,INE460C01014,Ganesh Housing Corporation Limited,Ganesh Housing Corporation Limited,10,INDIA,,#N/A,
GANGAFORGE,INE691Z01015,,,,INDIA,,#N/A,
GANGESSECU,INE335W01016,Ganges Securities Limited,Ganges Securities Limited,10,INDIA,,#N/A,
GANGOTRI,INE670B01028,Gangotri Textiles Limited,Gangotri Textiles Limited,5,INDIA,TEXTILES,TEXTILES - SPINNING - COTTON BLENDED,
GARDENSILK,INE526A01016,Garden Silk Mills Limited,Garden Silk Mills Limited,10,INDIA,,#N/A,
GARWALLROP,INE276A01018,Garware  Wall Ropes Limited,Garware  Wall Ropes Limited,10,INDIA,,#N/A,
GATI,INE152B01027,GATI Limited,GATI Limited,2,INDIA,SERVICES,COURIERS,
GAYAHWS,INE287Z01012,,,,INDIA,,#N/A,
GAYAPROJ,INE336H01023,Gayatri Projects Limited,Gayatri Projects Limited,2,INDIA,CONSTRUCTION,CONSTRUCTION & CONTRACTING - CIVIL,CONSTRUCTION
GDL,INE852F01015,Gateway Distriparks Limited,Gateway Distriparks Limited,10,INDIA,SERVICES,MISCELLANEOUS,
GEECEE,INE916G01016,GeeCee Ventures Limited,GeeCee Ventures Limited,10,INDIA,,#N/A,
GEMINI,INE878C01033,Gemini Communication Limited,Gemini Communication Limited,1,INDIA,,#N/A,
GENESYS,INE727B01026,Genesys International Corporation Limited,Genesys International Corporation Limited,5,INDIA,,#N/A,
GENUSPAPER,INE949P01018,Genus Paper & Boards Limited,Genus Paper & Boards Limited,1,INDIA,,#N/A,
