symbol,name,facev,marketcap_cr,vwap,outshares,dividend,exdate,recorddate
BALLARPUR,Ballarpur Industries Limited,2.00,315.09,10.25,307404878.04878044,ANNUAL GENERAL MEETING,18-SEP-17,-
BALMLAWRIE,Balmer Lawrie & Company Limited,10.00,952.84,220.09,43293198.23708483,ANNUAL GENERAL MEETING\/DIVIDEND- RS 10 PER SHARE,04-SEP-18,-
BALPHARMA,Bal Pharma Limited,10.00,56.89,90.88,6259903.169014085,ANNUAL GENERAL MEETING\/DIVIDEND RE 1 PER SHARE,14-SEP-18,-
BALRAMCHIN,Balrampur Chini Mills Limited,1.00,982.06,72.32,135793694.69026548,ANNUAL GENERAL MEETING,23-AUG-18,-
BANARBEADS,Banaras Beads Limited,10.00,8.14,49.32,1650446.0665044608,ANNUAL GENERAL MEETING,08-AUG-18,-
BANARISUG,Bannari Amman Sugars Limited,10.00,411.83,1406.78,2927465.559646853,ANNUAL GENERAL MEETING\/DIVIDEND- RS 10 PER SHARE,11-SEP-18,-
BANCOINDIA,Banco Products (I) Limited,2.00,506.01,225.29,22460384.393448446,DIVIDEND- RS 5.80 PER SHARE,06-SEP-18,-
BANDHANBNK,Bandhan Bank Limited,10.00,5842.66,686.39,85121578.11156923,DIVIDEND RE 1\/- PER SHARE,12-JUL-18,13-JUL-18
BANG,Bang Overseas Limited,10.00,18.49,50.31,3675213.675213675,ANNUAL GENERAL MEETING,19-SEP-18,-
BANKBARODA,Bank of Baroda,2.00,14381.03,151.96,946369439.3261385,ANNUAL GENERAL MEETING,05-JUL-18,-
BANKINDIA,Bank of India,10.00,2666.06,95.74,278468769.5842908,ANNUAL GENERAL MEETING,05-JUL-18,-
BANSWRAS,Banswara Syntex Limited,10.00,59.72,84.95,7030017.657445556,ANNUAL GENERAL MEETING\/DIVIDEND - RE 1\/- PER SHARE,06-SEP-17,-
BARTRONICS,Bartronics India Limited,10.00,27.10,9.19,29488574.53754081,ANNUAL GENERAL MEETING,21-SEP-17,-
BASF,BASF India Limited,10.00,2303.94,1956.81,11773958.636760851,ANNUAL GENERAL MEETING\/DIVIDEND- RS 3 PER SHARE,26-JUL-18,-
BASML,Bannari Amman Spinning Mills Limited,10.00,153.37,216.78,7074914.660023987,ANNUAL GENERAL MEETING\/DIVIDEND - RS 1.80 PER SHARE,15-SEP-17,-
BATAINDIA,Bata India Limited,5.00,6222.62,1032.46,60269840.96236173,ANNUAL GENERAL MEETING\/DIVIDEND- RS 4 PER SHARE,09-JUL-18,-
BAYERCROP,Bayer Cropscience Limited,10.00,4357.89,4062.66,10726691.379539514,ANNUAL GENERAL MEETING\/DIVIDEND RS 18\/- PER SHARE,06-AUG-18,-
BBL,Bharat Bijlee Limited,10.00,491.08,1330.54,3690832.2936552074,ANNUAL GENERAL MEETING \/ DIVIDEND- RS 2.50 PER SHARE,19-JUN-18,-
BBTC,Bombay Burmah Trading Corporation Limited,2.00,2863.42,1637.43,17487281.89907355,ANNUAL GENERAL MEETING\/DIVIDEND- RE 1 PER SHARE,26-JUL-18,-
BDL,Bharat Dynamics Limited,10.00,809.04,364.82,22176415.76667946,-,-,-
BEARDSELL,Beardsell Limited,2.00,26.13,36.11,7236222.653004708,ANNUAL GENERAL MEETING,06-SEP-18,-
