SYMBOL,NAME,FC
BHARTIARTL,Bharti Airtel Limited,5
BHEL,Bharat Heavy Electricals Limited,2
BHUSANSTL,Bhushan Steel Limited,2
BIGBLOC,Bigbloc Construction Limited,10
BIL,Bhartiya International Limited,10
BILENERGY,Bil Energy Systems Limited,1
BILPOWER,Bilpower  Limited,10
BINANIIND,Binani Industries Limited,10
BINDALAGRO,Oswal Chemicals & Fertilizers Limited,10
BIOCON,Biocon Limited,5
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,10
BIRLACABLE,Birla Cable Limited,10
BIRLACORPN,Birla Corporation Limited,10
BIRLAMONEY,Aditya Birla Money Limited,1
BLBLIMITED,BLB Limited,1
BLISSGVS,Bliss GVS Pharma Limited,1
BLKASHYAP,B. L. Kashyap and Sons Limited,1
BLS,BLS International Services Limited,1
BLUEBLENDS,Blue Blends (I) Limited,10
BLUECOAST,Blue Coast Hotels Limited,10
BLUEDART,Blue Dart Express Limited,10
BLUESTARCO,Blue Star Limited,2
BODALCHEM,Bodal Chemicals Limited,2
BOMDYEING,Bombay Dyeing & Mfg Company Limited,2
BOSCHLTD,Bosch Limited,10
BPCL,Bharat Petroleum Corporation Limited,10
BPL,BPL Limited,10
BRFL,Bombay Rayon Fashions Limited,10
BRIGADE,Brigade Enterprises Limited,10
BRITANNIA,Britannia Industries Limited,2
BRNL,Bharat Road Network Limited,10
BROOKS,Brooks Laboratories Limited,10
BSE,BSE Limited,2
BSELINFRA,BSEL Infrastructure Realty Limited,10
BSL,BSL Limited,10
BSLIMITED,BS Limited,1
BURNPUR,Burnpur Cement Limited,10
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,10
BVCL,Barak Valley Cements Limited,10
BYKE,The Byke Hospitality Ltd,10
CADILAHC,Cadila Healthcare Limited,1
CALSOFT,California Software Company Limited,10
CALSOFT,California Software Company Limited,10
CAMLINFINE,Camlin Fine Sciences Limited,1
CANBK,Canara Bank,10
CANDC,C & C Constructions Limited,10
CANFINHOME,Can Fin Homes Limited,10
CANTABIL,Cantabil Retail India Limited,10
CAPACITE,Capacit'e Infraprojects Limited,10
CAPF,Capital First Limited,10
CAPLIPOINT,Caplin Point Laboratories Limited,2
CAPTRUST,Capital Trust Limited,10
CARBORUNIV,Carborundum Universal Limited,1
CAREERP,Career Point Limited,10
CARERATING,CARE Ratings Limited,10
