"symbol","close"
"ORIENTABRA","34.6"
"GINNIFILA","21.35"
"ONGC","168.9"
"BINANIIND","82.9"
"SUVEN","230.6"
"AUTOLITIND","58.9"
"KHAITANLTD","42.45"
"PATELENG","46.8"
"ASSAMCO","5.1"
"GUJALKALI","567.0"
"TORNTPHARM","1700.4"
"PSL","2.1"
"PBAINFRA","9.45"
"MANGCHEFER","54.6"
"EMAMILTD","581.35"
"DHARSUGAR","16.5"
"BHUSANSTL","31.0"
"SHAHALLOYS","26.5"
"IFCI","17.05"
"PRAKASH","152.45"
"RCOM","20.05"
"CYBERTECH","46.5"
"KARURVYSYA","103.85"
"TIRUMALCHM","1561.55"
"AUTOAXLES","1309.1"
"GRINDWELL","504.45"
"KOTAKGOLD","261.0"
"FSL","64.2"
"MTNL","16.0"
"UTTAMSUGAR","93.5"
"OMAXAUTO","104.65"
"ARIES","110.95"
"JYOTHYLAB","219.4"
"MARKSANS","31.6"
"TATAMTRDVR","143.3"
"GLOBALVECT","94.8"
"AARVEEDEN","34.35"
"OFSS","3928.15"
"TATAPOWER","69.9"
"ASHIMASYN","22.6"
"REMSONSIND","96.0"
"MAHSCOOTER","3097.35"
"EMKAY","130.3"
"SOUTHBANK","18.35"
"ENERGYDEV","14.9"
"POLYPLEX","491.85"
"TNPL","317.85"
"SALSTEEL","7.3"
"ELECON","68.4"
"TIIL","540.15"
"WSTCSTPAPR","353.7"
"SRF","1897.35"
"JOCIL","144.2"
"NUTEK","0.65"
"PIONEEREMB","29.8"
"STERTOOLS","392.4"
"NELCO","345.0"
"LPDC","3.15"
"MCDOWELL-N","610.15"
"HEG","4387.7"
"SRTRANSFIN","1415.85"
"POWERGRID","192.6"
"MANALIPETC","46.0"
"SUNDRMBRAK","461.25"
"UCOBANK","20.0"
"CADILAHC","378.55"
"REVATHI","500.45"
"EXCELINDUS","1728.7"
"IOB","16.1"
"MINDTREE","945.6"
"PETRONET","229.7"
"SUNDRMFAST","633.7"
"KHANDSE","21.45"
"SAIL","80.6"
"TIMESGTY","36.45"
"ALBK","45.8"
"GOLDTECH","19.4"
"SUNILHITEC","3.5"
"AIAENG","1758.55"
"ARCHIDPLY","62.95"
"VIMTALABS","259.15"
"RCF","70.8"
"SHOPERSTOP","551.2"
"IGARASHI","795.65"
"SHANTIGEAR","132.2"
"MAHLIFE","494.05"
"SUPERSPIN","9.75"
"VINDHYATEL","1402.65"
"RAJESHEXPO","643.15"
"SAKUMA","171.1"
