,open,high,low,close,volume,Supertrend,Macd,Macd_h,Macd_s,BB_l,BB_m,BB_u,sRSI_k,sRSI_d,action,BP,SP,PNL
2023-07-20 12:05:00+05:30,45927.0,45995.0,45917.4,45978.25,6630.0,45879.31772962647,14.570790973506519,3.0542269211553137,11.516564052351205,45882.01377739759,45917.105,45952.19622260242,92.66198397584996,80.68271687490419,BUY,45978.25,,-221.25
2023-07-20 12:10:00+05:30,45978.25,45984.9,45962.05,45970.9,1680.0,45897.42578095007,17.081526965121157,4.451970330215961,12.629556634905196,45877.75165468552,45919.912500000006,45962.07334531449,91.50350559737406,89.6657312457957,BUY,,,
2023-07-20 12:15:00+05:30,45970.9,45974.05,45950.5,45960.0,1995.0,45897.42578095007,17.9844508677852,4.2839153863040025,13.700535481481197,45876.98083511971,45922.36,45967.73916488029,85.2235704514214,89.79635334154848,BUY,,,
2023-07-20 12:20:00+05:30,45960.0,45984.5,45944.6,45976.3,2640.0,45897.42578095007,19.78720377308491,4.869334633282971,14.91786913980194,45874.19769790942,45925.240000000005,45976.28230209059,80.04883042077074,85.59196882318874,BUY,,,
2023-07-20 12:25:00+05:30,45976.3,45991.55,45970.9,45990.0,3450.0,45902.41164339713,22.066999311166,5.71930413709125,16.34769517407475,45871.02991015285,45929.02250000001,45987.01508984716,83.05890036070872,82.77710041096697,BUY,,,
2023-07-20 12:30:00+05:30,45990.0,45997.2,45971.55,45982.1,5700.0,45905.82783719753,22.97148870069941,5.299034821299728,17.672453879399683,45869.6923525533,45932.00250000001,45994.31264744672,86.7091875001481,83.27230609387588,BUY,,,
2023-07-20 12:35:00+05:30,45982.1,46005.7,45982.1,46002.0,5715.0,45916.45957474074,25.005815274264023,5.866689115891472,19.13912615837255,45867.18133680276,45936.162500000006,46005.143663197254,91.88392753079876,87.21733846388521,BUY,,,
2023-07-20 12:40:00+05:30,46002.0,46020.0,45990.1,46004.45,4470.0,45925.85820692064,26.510135919939785,5.896807809253787,20.613328110686,45865.90793804162,45940.450000000004,46014.992061958386,93.15839259739897,90.5838358761153,BUY,,,
2023-07-20 12:45:00+05:30,46004.45,46010.5,45991.55,46006.55,2475.0,45925.85820692064,27.554146272879734,5.552654529754989,22.001491743124745,45868.98300058031,45945.950000000004,46022.9169994197,99.99999999999999,95.01410670939926,BUY,,,
2023-07-20 12:50:00+05:30,46006.55,46007.8,45991.7,46001.5,1815.0,45927.707049982506,27.655246734320826,4.523003992956866,23.13224274136396,45872.81168080584,45950.84000000001,46028.86831919418,96.0617662182243,96.40671960520778,BUY,,,
2023-07-20 12:55:00+05:30,46001.5,46008.3,45988.0,45996.15,1230.0,45927.707049982506,26.992516363839968,3.0882188979808056,23.904297465859162,45881.99741130364,45956.36000000001,46030.72258869638,84.0319138172494,93.3645600118246,BUY,,,
2023-07-20 13:00:00+05:30,45996.15,45996.15,45963.85,45989.35,5625.0,45927.707049982506,25.62322600105108,1.3751428281535354,24.248083172897545,45888.41942985659,45960.47750000001,46032.535570143424,63.63010814394505,81.24126272647294,BUY,,,
2023-07-20 13:05:00+05:30,45989.35,46030.0,45989.15,45989.15,4230.0,45928.442559172654,24.242463169794064,-0.004496002482785144,24.24695917227685,45894.53979436278,45964.25500000001,46033.97020563724,46.92293291999755,64.86165162706402,,,,
