Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
20-Apr-23,RAINBOW,799.55,807.4,-0.0098,0.0206,0.0205,0.3917
20-Apr-23,RAJESHEXPO,560.5,558.8,0.003,0.026,0.026,0.4967
20-Apr-23,RAJMET,12,12,0,0.0339,0.0338,0.6457
20-Apr-23,RAJRATAN,881.9,783.75,0.118,0.0321,0.0331,0.6324
20-Apr-23,RAJRILTD,53.95,55.15,-0.022,0.1236,0.1233,2.3556
20-Apr-23,RAJSREESUG,40.6,42.1,-0.0363,0.038,0.038,0.726
20-Apr-23,RAJTV,46,44.65,0.0298,0.0343,0.0343,0.6553
20-Apr-23,RAKAN,1,1,0,0,0,0
20-Apr-23,RALLIS,202.1,204.45,-0.0116,0.0198,0.0197,0.3764
20-Apr-23,RAMANEWS,12.55,12.6,-0.004,0.0293,0.0292,0.5579
20-Apr-23,RAMAPHO,214.9,217.5,-0.012,0.0274,0.0273,0.5216
20-Apr-23,RAMARAJU,182.8,182.8,0,0,0,0
20-Apr-23,RAMASTEEL,30.65,30.05,0.0198,0.0337,0.0336,0.6419
20-Apr-23,RAMCOCEM,740.15,742.85,-0.0036,0.0178,0.0177,0.3382
20-Apr-23,RAMCOIND,132.1,128.15,0.0304,0.0195,0.0196,0.3745
20-Apr-23,RAMCOSYS,221.7,216.45,0.024,0.0322,0.0322,0.6152
20-Apr-23,RAMKY,358,351.35,0.0188,0.0358,0.0357,0.682
20-Apr-23,RAMPURFERT,11.95,11.95,0,0,0,0
20-Apr-23,RAMRAT,191.8,194.75,-0.0153,0.0267,0.0266,0.5082
20-Apr-23,RANASUG,23.85,24.3,-0.0187,0.0343,0.0342,0.6534
20-Apr-23,RANEENGINE,215.3,212.95,0.011,0.0281,0.0281,0.5368
20-Apr-23,RANEHOLDIN,926.95,925.05,0.0021,0.0221,0.022,0.4203
20-Apr-23,RANJANPOLY,28.25,28.25,0,0,0,0
20-Apr-23,RATEGAIN,355.3,350,0.015,0.0262,0.0261,0.4986
