SUBJECT,"Exports in goods, s.a.","Exports in goods, s.a.","Exports in goods, s.a.","GDP Imports of goods and services; constant prices, s.a.","GDP Imports of goods and services; constant prices, s.a.",Overnight interbank rate,"Exchange rates,  monthly averages, National currency per US dollar","Broad money, s.a.","Broad money, s.a.","Broad money, s.a.","Narrow money, s.a.","Narrow money, s.a.","Manufacturing - Confidence indicator, s.a.","Total manufacturing, s.a.","Total manufacturing, s.a.","Total manufacturing, s.a.","Current account as a % of GDP, s.a.",Long-term interest rate,3 month interbank rate,"Imports in goods, s.a.","Imports in goods, s.a.","Imports in goods, s.a.","Passenger car registrations, s.a.",Share prices,Share prices,Consumer prices: all items,Consumer prices: all items,Consumer prices: all items,"Industrial production, s.a.","Industrial production, s.a.","Industrial production, s.a.","Gross domestic product; constant prices, s.a.","Gross domestic product; constant prices, s.a.","GDP Private final consumption expenditure; constant prices, s.a.","GDP Private final consumption expenditure; constant prices, s.a.","GDP Government consumption expenditure; constant prices, s.a.","GDP Government consumption expenditure; constant prices, s.a.","GDP Gross fixed capital formation; constant prices, s.a.","GDP Gross fixed capital formation; constant prices, s.a.","GDP Exports; constant prices, s.a.","GDP Exports; constant prices, s.a."
LOCATION,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND
MEASURE,GP,GY,ST,GP,GY,ST,ST,GP,GY,ST,GP,ST,ST,GP,GY,ST,ST,ST,ST,GP,GY,ST,ST,GP,GY,GP,GY,ST,GP,GY,ST,GP,GY,GP,GY,GP,GY,GP,GY,GP,GY
FREQUENCY,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q
TIME_PERIOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-10-01,,,,,,,4.7619000037619,2.58702253376479,9.92928687519964,0.101691409221196,2.90519551031695,0.28765009250677,,,,,,,,,,,,-6.90851718669189,-13.6743273178983,1.5576323988762,5.67260940078765,3.52873937932733,,,,,,,,,,,,,
1966-01-01,,,,,,,4.7619000037619,2.91754784768206,11.0392772363233,0.104658304742206,2.52096190539345,0.294901641759695,,,,,,,,,,,,-0.450783283735996,-13.1439835030802,0.56237218832574,7.1934604905543,3.54858402819517,,,,,,,,,,,,,
1966-04-01,,,,,,,5.6746000046746,2.98730625748221,11.5114777370363,0.107784768828745,2.34794553278796,0.30182577168351,,,,,,,,,,,,8.00359712185248,-2.75063063811022,3.8637519056446,11.7614879645855,3.68569251120796,,,,,,,,,,,,,
1966-07-01,,,,,,,7.5000000065,2.65573443132147,11.622958952761,0.11064724604625,2.06494671747606,0.308058313048386,,,,,,,,,,,,-1.20732722773194,-1.11947797057556,5.13950073464243,11.5264797507024,3.87511870489815,,,,,,,,,,,,,
1966-10-01,,,,,,,7.5000000065,2.2807485789085,11.2879143731055,0.113170831538051,1.54564261205221,0.312819793604831,,,,,,,,,,,,-0.379266750951345,5.8158040985868,2.51396648035269,12.5766871162482,3.97253789021317,,,,,,,,,,,,,
1967-01-01,,,,,,,7.5000000065,2.55290542514133,10.8941143212543,0.116059975836064,2.87344510959441,0.321808498666012,,,,,,,,,,,,5.28764805503621,11.9154676258992,2.04359673040899,14.2348754444902,4.05372054465182,,,,,,,,,,,,,
1967-04-01,,,,,,,7.5000000065,1.5603860933153,9.36164152318476,0.117870959558915,0.989088061613279,0.324991468107574,,,,,,,,,,,,-4.45962233869016,-0.999167360537032,4.04984423657956,14.4395496821862,4.21788991249645,,,,,,,,,,,,,
1967-07-01,,,,,,,7.5000000065,1.72233847303479,8.3625452979545,0.119901096443933,1.76643299855454,0.330732224642714,,,,,,,,,,,,-3.74264087470042,-3.53982300845802,3.67835757098816,12.8491620115064,4.37303898542871,,,,,,,,,,,,,
1967-10-01,,,,,,,7.5000000065,2.97128296323731,9.0955148338833,0.123463697295307,2.91337684478993,0.340367700693713,,,,,,,,,,,,-0.262123197904135,-3.4263959386923,0.783828382349225,10.9445958218713,4.40731610616769,,,,,,,,,,,,,
1968-01-01,,,,,,5.0,7.5000000065,2.72295501864034,9.27611561310669,0.126825558237008,2.14874745068803,0.347681342985335,,,,,,,,,,,,-1.13885238809085,-9.32101245600641,0.450266066463085,9.2122830439408,4.42716075503553,,,,,,,,,,,,,
