Date,Index,Open,High,Low,Close,Volume,Turnover
2017-04-18,Nifty Metal,2964.05,3020.0,2895.75,2901.25,89980614.0,18762400000.0
2017-04-19,Nifty Metal,2892.65,2927.35,2864.9,2915.8,94568175.0,17757100000.0
2017-04-20,Nifty Metal,2931.35,2938.35,2903.05,2919.65,72477119.0,12381600000.0
2017-04-21,Nifty Metal,2944.15,2945.3,2894.1,2905.25,81915245.0,14402400000.0
2017-04-24,Nifty Metal,2917.35,2936.3,2893.25,2925.7,61584753.0,11742900000.0
2017-04-25,Nifty Metal,2944.5,2949.3,2919.1,2945.85,63979688.0,13121300000.000002
2017-04-26,Nifty Metal,2957.35,2995.75,2933.55,2957.9,71598540.0,13343300000.0
2017-04-27,Nifty Metal,2958.75,2963.35,2926.2,2929.85,52012955.0,10985200000.0
2017-04-28,Nifty Metal,2931.6,3016.15,2921.9,2974.4,94399536.0,17447200000.0
2017-05-02,Nifty Metal,2994.15,3010.25,2947.75,2957.35,57866380.0,11105600000.0
2017-05-03,Nifty Metal,2971.45,2982.55,2932.45,2950.85,59074019.0,10415400000.0
2017-05-04,Nifty Metal,2970.35,2972.85,2907.15,2927.55,73761953.0,12737200000.0
2017-05-05,Nifty Metal,2920.65,2922.3,2836.75,2856.7,96950816.0,17891900000.0
2017-05-08,Nifty Metal,2871.25,2873.75,2829.1,2854.35,67016944.0,12499900000.0
2017-05-09,Nifty Metal,2857.7,2899.15,2850.9,2876.45,58025343.0,11351000000.0
2017-05-10,Nifty Metal,2888.35,2904.35,2878.4,2899.1,44486699.0,8569700000.0
2017-05-11,Nifty Metal,2929.05,2947.4,2911.55,2915.35,75220338.0,15407600000.0
2017-05-12,Nifty Metal,2925.55,2935.9,2889.1,2912.05,58991443.0,11775000000.0
2017-05-15,Nifty Metal,2925.0,2981.95,2923.2,2978.5,72182351.0,15609900000.0
2017-05-16,Nifty Metal,3003.45,3004.25,2958.95,2964.1,69875750.0,15599200000.0
2017-05-17,Nifty Metal,2982.6,3042.25,2977.95,3030.65,125976819.0,36998000000.0
2017-05-18,Nifty Metal,3004.3,3019.9,2939.8,2947.05,79711565.0,18622800000.0
2017-05-19,Nifty Metal,2969.5,2995.8,2902.6,2943.2,70396692.0,15452700000.0
2017-05-22,Nifty Metal,2962.25,2977.5,2920.75,2926.3,53818731.0,11440800000.0
2017-05-23,Nifty Metal,2933.9,2947.55,2853.7,2913.9,104226116.0,19209200000.0
2017-05-24,Nifty Metal,2920.2,2926.55,2841.15,2848.1,71807093.0,13702700000.0
2017-05-25,Nifty Metal,2861.95,2908.45,2843.6,2899.8,101716141.0,20652100000.0
2017-05-26,Nifty Metal,2903.85,3022.9,2899.6,2997.75,112968818.0,24403700000.0
2017-05-29,Nifty Metal,3009.85,3050.05,2979.9,2988.75,68300133.0,13442100000.0
2017-05-30,Nifty Metal,2969.6,3024.4,2959.6,2998.75,77183123.0,15269600000.0
2017-05-31,Nifty Metal,2998.45,3022.0,2946.2,2952.95,88510523.0,17303800000.0
2017-06-01,Nifty Metal,2957.95,2965.45,2914.45,2926.95,56623679.0,11267700000.0
2017-06-02,Nifty Metal,2942.15,2956.3,2907.6,2923.35,54927850.0,11457500000.0
2017-06-05,Nifty Metal,2927.85,2946.55,2894.0,2905.95,46764717.0,10109500000.0
2017-06-06,Nifty Metal,2910.4,2919.15,2887.7,2896.4,38787376.0,7936600000.0
2017-06-07,Nifty Metal,2917.4,2928.7,2907.4,2924.85,43975933.0,9238700000.0
2017-06-08,Nifty Metal,2947.1,2975.4,2944.4,2950.7,70322643.0,15598300000.0
2017-06-09,Nifty Metal,2955.65,3004.45,2939.45,2997.7,61397040.0,13688599999.999998
2017-06-12,Nifty Metal,2991.25,3022.45,2973.7,2986.95,48968501.0,10939000000.0
2017-06-13,Nifty Metal,2986.6,2998.75,2959.35,2963.85,41941108.0,9809700000.0
2017-06-14,Nifty Metal,2965.25,2965.65,2924.1,2943.7,46870908.0,10037400000.0
2017-06-15,Nifty Metal,2931.05,2954.4,2921.45,2932.45,47312864.0,9718900000.0
2017-06-16,Nifty Metal,2935.15,2953.95,2925.6,2931.05,46090069.0,9166000000.0
2017-06-19,Nifty Metal,2954.3,2986.0,2938.95,2982.4,50639073.0,12219900000.0
2017-06-20,Nifty Metal,2996.8,2997.45,2974.65,2988.7,39264316.0,9218600000.0
2017-06-21,Nifty Metal,2978.3,2983.25,2947.4,2953.55,46875740.0,9935500000.0
2017-06-22,Nifty Metal,2963.2,2974.05,2903.15,2912.65,48963214.0,9737800000.0
2017-06-23,Nifty Metal,2913.05,2913.05,2856.55,2892.4,55453397.0,10897100000.0
2017-06-27,Nifty Metal,2903.15,2906.95,2861.85,2885.0,36276660.0,7837900000.0
2017-06-28,Nifty Metal,2890.3,2938.55,2878.1,2931.75,50920649.0,11382100000.0
2017-06-29,Nifty Metal,2954.15,2999.8,2951.75,2991.2,69461514.0,17173000000.0
2017-06-30,Nifty Metal,2987.9,3011.15,2964.7,2991.35,55754191.0,13373000000.0
2017-07-03,Nifty Metal,2999.45,3051.45,2995.6,3046.3,58554388.0,13067400000.0
2017-07-04,Nifty Metal,3058.6,3079.65,3037.25,3050.15,61897561.0,13249600000.0
2017-07-05,Nifty Metal,3052.65,3086.55,3046.2,3082.85,51774619.0,11232800000.0
